Voltaje,Corriente
-4.015,-2.95
-3.815,-2.8
-3.615,-2.6
-3.415,-2.5
-3.215,-2.4
-3.015,-2.15
-2.815,-2
-2.615,-1.8
-2.415,-1.65
-2.215,-1.5
-2.015,-1.35
-1.815,-1.2
-1.615,-1.05
-1.415,-0.9
-1.215,-0.8
-1.015,-0.6
-0.815,-0.4
-0.615,-0.29
-0.515,-0.15
-0.465,-0.08
-0.44,-0.05
-0.415,-0.02
-0.402,0
-0.375,0.038
-0.365,0.055
-0.345,0.09
-0.335,0.095
-0.325,0.115
-0.315,0.135
-0.305,0.155
-0.265,0.25
-0.215,0.375
-0.015,0.9
0.185,1.55
0.385,2.2
0.585,2.75
0.785,3.3
0.985,3.8
1.185,4.3
1.385,4.7
1.585,5.1
1.785,5.5
1.985,5.7
2.185,6.1
2.385,6.4
2.585,6.7
2.785,7
2.985,7.3
3.185,7.55
3.385,7.7
3.585,7.9
3.785,8.1
3.985,8.45
