Voltaje,Corriente
-3.000,-1.300
-2.700,-1.150
-2.400,-1.000
-2.100,-0.900
-1.800,-0.760
-1.500,-0.620
-1.200,-0.500
-0.900,-0.380
-0.600,-0.280
-0.300,-0.140
-0.270,-0.115
-0.260,-0.110
-0.250,-0.100
-0.240,-0.093
-0.230,-0.084
-0.220,-0.075
-0.210,-0.070
-0.200,-0.061
-0.190,-0.051
-0.180,-0.046
-0.172,0.000
-0.160,0.017
-0.150,0.030
-0.140,0.043
-0.130,0.059
-0.120,0.072
-0.110,0.091
-0.100,0.100
-0.090,0.120
-0.080,0.140
-0.070,0.160
0.000,0.350
0.300,1.100
0.600,1.800
0.900,2.300
1.200,2.700
1.500,3.000
1.800,3.300
2.100,3.500
2.400,3.600
2.700,3.800
3.000,4.000
